BEYOND,#genre#
海阔天空,https://vd2.bdstatic.com/mda-jccg84gp61a7n0ms/sc/mda-jccg84gp61a7n0ms.mp4
血染的风采,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201217/5623330UVqF1sc8YPbod665sH.mp4
请将手放开,http://em.21dtv.com/songs/60035529.mkv
醒你,http://em.21dtv.com/songs/60051184.mkv
黄家强-醒你,http://em.21dtv.com/songs/60051183.mkv

邓紫棋,#genre#
喜欢你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6uyj4QUosO5G.mp4

张韶涵,#genre#
有形的翅膀,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9bOY_AUomICzGg.mp4

草蜢,#genre#
忘情森巴舞,http://vodcdn.video.taobao.com/oss/ali-video/a30020a6cd9ce2a8b387e029f9c5365c/video.m3u8
失恋阵线联盟,http://vodcdn.video.taobao.com/oss/ali-video/bbae2fc164d9517913ed5a9117f8455b/video.m3u8
宝贝对不起,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/RQdMfitGKCINh4BPzc9%40%40sd.m3u8
半点心,http://vodcdn.video.taobao.com/oss/ali-video/68fc953ff930412784dada5eb79d0821/1461058499/video.m3u8.m3u8

张学友,#genre#
一千个伤心的理由,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg74qw4gUo0ZG70AM.mp4
流星下的愿,http://em.21dtv.com/songs/60027735.mkv
你是爱我的,http://em.21dtv.com/songs/60031991.mkv

刘德华,#genre#
世界第一等,http://em.21dtv.com/songs/60039261.mkv
世界第一等(演唱会),http://em.21dtv.com/songs/60039259.mkv
缠绵(演唱会),http://em.21dtv.com/songs/60012256.mkv
开心的马骝,http://em.21dtv.com/songs/60025029.mkv
十年,http://em.21dtv.com/songs/60038982.mkv
如果有一天,http://em.21dtv.com/songs/60036969.mkv
每一个晚上,http://em.21dtv.com/songs/60029089.mkv
亲爱的小孩,http://em.21dtv.com/songs/60069725.mkv
美丽的一天,http://em.21dtv.com/songs/60029247.mkv

郭富城,#genre#
梦伴,http://em.21dtv.com/songs/60029477.mkv
木偶袭地球,http://em.21dtv.com/songs/60030576.mkv
时光,http://em.21dtv.com/songs/60039095.mkv

伍佰,#genre#
挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv
突然的自我(演唱会),http://em.21dtv.com/songs/60042927.mkv
美丽新世界(演唱会),http://em.21dtv.com/songs/60029283.mkv
一样的月光,http://em.21dtv.com/songs/60053816.mkv
世界第一等,http://em.21dtv.com/songs/60039260.mkv

刀郎,#genre#
冲动的惩罚西海情歌驼铃等,https://vdse.bdstatic.com//32366fcdc5f95486daaebcc32bec1135.mp4
守候在凌晨两点的伤心秀吧,https://vd3.bdstatic.com/mda-ierq2z9f1exw934e/logo/hd/mda-ierq2z9f1exw934e.mp4
心里的温柔,https://vd4.bdstatic.com/mda-kj18fhzhecfm9trb/hd/mda-kj18fhzhecfm9trb.mp4
沙枣花儿香,http://em.21dtv.com/songs/60037482.mkv
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4

周华健,#genre#
朋友,http://vodcdn.video.taobao.com/oss/ali-video/6079de4355c45a42073ead75954c1b2f/video.m3u8
风雨无阻,http://vodcdn.video.taobao.com/oss/ali-video/8d77795bdc63d87125ba47f993e0bfb4/video.m3u8
鬼迷心窍,http://em.21dtv.com/songs/60019401.mkv
温柔的瞬息,http://em.21dtv.com/songs/60090835.mkv

叶倩文,#genre#
叶倩文-潇洒走一回,http://vodcdn.video.taobao.com/oss/ali-video/371d75312720e701b5f3988d46cdf4ef/video.m3u8
叶倩文-我的爱对你说,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/7xXG24i7EbZtCTOtSnh%40%40sd.m3u8
